text@vei1976f	@vei1976f	6.476	14.995	ммм ну вот сейчас наверное / сорок // года / три назад может быть // да я вообще на самом деле только щас стала думать о том что я красивая //
text@vei1976f	@vei1976f	17.283	23.222	ну как-то / стала думать боже мой / я такая / красивая // ну могу подойти к зераклу и сказать / ах //
text@vei1976f	@vei1976f	25.331	25.68	да //
text@vei1976f	@vei1976f	31.261	33.137	а щас я стала раздеваться //
text@vei1976f	@vei1976f	33.155	34.091	#смеется#
text@vei1976f	@vei1976f	34.111	52.898	давай пошутим // ведь все ... опять / н... ну я должна щас себя / начать эээ / как бы хвалить / а давай просто пошутим на эту тему // расскажу тебе смешную историю тоже // как-то я мм аа должна была / гм играть / в спектакле у потрясающего совершенно режиссёра который впервые ставил в театре / может быть ты видела этот спектакль / братья //
text@vei1976f	@vei1976f	52.917	53.079	да //
text@vei1976f	@vei1976f	55.379	83.466	и / значит // он мне говорит надо здесь... прям на сцене надо переодеваться / прям на сцене я говорю // это не ко мне / а мы близкие друзья / с Лёшей Мизгирёвым // и он / мне сказал / ты дура? / через пять лет тебе уже никто не предложит // да / так что / ээ можно шутить на эту тему потому что я щас стала думать ну мне реально уже никто не предложит видимо / надо быстрее //
text@vei1976f	@vei1976f	83.475	84.668	#смеется#
text@vei1976f	@vei1976f	94.281	100.935	а у... у Юли ви... и... видишь какая-то есть э... чудесная европейская... какое-то отношение к... к этому делу //
text@vei1976f	@vei1976f	101.485	101.896	мыгы //
text@vei1976f	@vei1976f	104.979	134.911	вообще я очень... ну как бы я думаю только о том что я голая / больше ни о чём // ну как... вообще больше ни о чем не могу думать / но для меня должно быть... если это случается допустим в кадре... то это должно быть очень оправданно / я должна понимать почему / не просто ради того чтобы / щас потом написали / а в нашей картине снялась Исакова голая // полностью / хы / и еще потом на этом сделать всю рекламную компанию хы / нет не для этого / а я должна понимать почему //
text@vei1976f	@vei1976f	138.567	138.888	да //
text@vei1976f	@vei1976f	139.461	218.046	ну это тоже ерунда потому что зритель же воспринимает э... это м.. не как это те... части дублёра / зритель же воспринимает это как твои части но э там дело в том... у меня была тоже однажды история когда мне / прислали сценарий и я / ужасно его ждала / и ужасно хотела / ммм... и ... у... и такая ещё д... до того как получила этот сценарий сидела / и думала / господи господи я так хочу какой-нибудь классный сценарий / так хочу чтобы было что-то... что-то // что так давно ничего интересного... и вдруг мне присылает режиссёр / можно не буду говорить его фамилию но / присылает мне сценарий / и говорит так почитай / но ничего сразу мне не говори / просто чуть поживи с этим // я читаю и понимаю что героиня всё время голая / и я сказала я не могу // он мне сказал ну ч... что за ерунда / вообще какой-то бред // ну / хочешь мы все разденемся... на площадке будут все голые / что тебя смущает? говорю я не могу вообще я / ну не могу / ну не понимаю как // ну потом я все думала / вот у меня не очень красиво здесь / не очень красиво там / какой бред / почему как я буду потом смущаться видеть это на экране и думать боже я такая страшная и это все видят теперь // а щас я вдруг стала красивая и теперь можно всем показать //
text@vei1976f	@vei1976f	222.274	250.154	ой я еще знаешь э / это тоже ммм / наверное в сорок появилось / аа я еще всегда думала / что / это прям / тоже была моя навящевая идея такая / что я такой / вид шарлатана / что я как-то так всех обманула // да / да? так называется? / как я так всех обманула чудесным образом / что все думают что я //
text@vei1976f	@vei1976f	253.643	316.698	даже не так давно когда вот вся эта история с эм интернетом так стала явна когда каждый может написать какой-то в к... комментарий / там и что-то и тогда можно прочитать да она вообще кусок... #пру# / что эт / кто это ? / да если бы не ее муж / да никогда б / посмотрите какая она страшная / да у нее там это и ты читаешь и думаешь / о / вот этот чет меня раскусил // вот / а как-то я всех обманула / и щас я вот приду / и все ждут от меня...  все ж знают / д думают что я такая классная / и я щас приду / и ничего не смогу сделать / и наконец-то все узнают / правду // и я с вот этим / справилась наверное ну не так давно / и у меня по-прежнему рефлексия никуда не девается и по-прежнему ты мучаешься и у тебя не получается и ты там... я часто очень себе говорю господи ну как… ну какая элементарная вещь почему я не понимаю как ее сделать или потом смотрю кино и думаю / ооо / почему я не сделала по-другому / там что-то… эта рефлексия никуда не девается но вот этот комплекс самозванца он как-то / заглох // подзатих //
text@vei1976f	@vei1976f	325.665	329.468	нет таких / нету таких зо... областей //
text@vei1976f	@vei1976f	335.814	338.675	ну / м... могла бы быть и лучшей / я думаю //
text@vei1976f	@vei1976f	342.012	347.482	очень надеюсь что хорошая // я очень / стараюсь //
text@iys1984f	@iys1984f	0.4	5.629	а был момент когда ты вот точно поняла что я себя полюбила / в том возрасте в котором я нахожусь? //
text@iys1984f	@iys1984f	23.808	24.73	только щас / Вик? //
text@iys1984f	@iys1984f	25.334	32.644	связано ли это... вот был мой вопрос... там же в том же интервью ты говоришь что я никогда не раздеваюсь в кино / и все твои последние работы //
text@iys1984f	@iys1984f	35.307	35.823	нуу //
text@iys1984f	@iys1984f	52.01	52.307	братья? //
text@iys1984f	@iys1984f	52.774	55.029	да я смотрела это очень красиво выглядит //
text@iys1984f	@iys1984f	65.633	65.95	мыгы //
text@iys1984f	@iys1984f	67.845	68.019	да //
text@iys1984f	@iys1984f	75.032	76.205	#смеется#
text@iys1984f	@iys1984f	84.843	94.195	а что у тебя срабатывало? ну просто обычно / актрисы... как бы / ну кого я вспоминаю / Юлию Ауг у меня тут сидела которая говорит что это инструмент и если меня режиссёр попросит //
text@iys1984f	@iys1984f	100.246	101.305	а у тебя стеснение? //
text@iys1984f	@iys1984f	102.042	104.975	ты стесняешься / а... именно съемочную группу? //
